Fib_Angle,Ply_Layers,E1/E2,Winkler,Pasternak,Rx,Ry,a/h,Skew_Angle,Poisson_R,Omega,Strat_cat
60.0,16,10.0,0.0,0.0,0.25,0.25,75.0,0.0,0.25,38.7039,EF0_Spherical
60.0,12,5.0,0.0,0.0,0.8,0.8,100.0,0.0,0.25,104.7769,EF0_Spherical
60.0,6,75.0,0.0,0.0,0.6,0.6,50.0,45.0,0.25,78.7944,EF0_Spherical
30.0,6,15.0,0.0,0.0,1.0,1.0,5.0,60.0,0.25,13.854,EF0_Spherical
90.0,16,15.0,0.0,0.0,0.1,0.1,50.0,15.0,0.25,14.8956,EF0_Spherical
45.0,4,40.0,0.0,0.0,0.6,0.6,50.0,0.0,0.25,79.7281,EF0_Spherical
15.0,8,5.0,0.0,0.0,1.0,1.0,50.0,5.0,0.25,61.4669,EF0_Spherical
90.0,16,5.0,0.0,0.0,0.6,0.6,75.0,45.0,0.25,56.3219,EF0_Spherical
15.0,4,50.0,0.0,0.0,1.0,1.0,50.0,30.0,0.25,97.7194,EF0_Spherical
15.0,6,15.0,0.0,0.0,0.1,0.1,10.0,15.0,0.25,12.1147,EF0_Spherical
15.0,12,75.0,0.0,0.0,1.0,1.0,100.0,45.0,0.25,200.4368,EF0_Spherical
15.0,10,15.0,0.0,0.0,0.6,0.6,25.0,30.0,0.25,31.761,EF0_Spherical
45.0,10,5.0,0.0,0.0,0.25,0.25,50.0,0.0,0.25,23.7391,EF0_Spherical
90.0,6,15.0,0.0,0.0,0.25,0.25,10.0,5.0,0.25,11.6116,EF0_Spherical
30.0,12,15.0,0.0,0.0,0.25,0.25,25.0,30.0,0.25,22.3774,EF0_Spherical
60.0,16,5.0,0.0,0.0,0.6,0.6,10.0,30.0,0.25,13.9951,EF0_Spherical
30.0,4,40.0,0.0,0.0,0.6,0.6,100.0,75.0,0.25,216.0403,EF0_Spherical
30.0,4,10.0,0.0,0.0,0.1,0.1,50.0,75.0,0.25,79.4075,EF0_Spherical
75.0,10,5.0,0.0,0.0,0.25,0.25,75.0,75.0,0.25,119.4077,EF0_Spherical
45.0,14,40.0,0.0,0.0,0.8,0.8,50.0,15.0,0.25,98.3992,EF0_Spherical
30.0,6,75.0,0.0,0.0,0.25,0.25,100.0,75.0,0.25,178.0164,EF0_Spherical
