Fib_Angle,Ply_Layers,E1/E2,Winkler,Pasternak,Rx,Ry,a/h,Skew_Angle,Poisson_R,Omega,Strat_cat
60.0,10,90.0,0.0,0.0,0.1,0.1,5.0,5.0,0.25,13.6331,EF0_Spherical
60.0,12,5.0,0.0,0.0,1.0,1.0,75.0,15.0,0.25,97.2541,EF0_Spherical
75.0,16,40.0,0.0,0.0,0.25,0.25,10.0,15.0,0.25,17.6904,EF0_Spherical
15.0,16,5.0,0.0,0.0,0.4,0.4,50.0,0.0,0.25,27.9104,EF0_Spherical
45.0,4,75.0,0.0,0.0,0.4,0.4,50.0,45.0,0.25,58.5243,EF0_Spherical
30.0,4,10.0,0.0,0.0,0.5,0.5,50.0,30.0,0.25,50.2385,EF0_Spherical
60.0,10,50.0,0.0,0.0,0.8,0.8,10.0,15.0,0.25,27.3975,EF0_Spherical
60.0,14,40.0,0.0,0.0,0.4,0.4,75.0,30.0,0.25,69.2022,EF0_Spherical
30.0,8,5.0,0.0,0.0,0.1,0.1,5.0,15.0,0.25,8.2445,EF0_Spherical
45.0,8,5.0,0.0,0.0,0.8,0.8,50.0,60.0,0.25,63.8491,EF0_Spherical
75.0,12,10.0,0.0,0.0,0.5,0.5,10.0,30.0,0.25,15.2783,EF0_Spherical
90.0,4,15.0,0.0,0.0,0.8,0.8,100.0,30.0,0.25,98.5293,EF0_Spherical
30.0,6,40.0,0.0,0.0,0.8,0.8,50.0,15.0,0.25,86.0925,EF0_Spherical
75.0,12,50.0,0.0,0.0,0.6,0.6,50.0,30.0,0.25,64.0117,EF0_Spherical
45.0,10,90.0,0.0,0.0,0.1,0.1,75.0,0.0,0.25,62.5627,EF0_Spherical
30.0,16,10.0,0.0,0.0,0.1,0.1,75.0,45.0,0.25,24.0175,EF0_Spherical
45.0,4,10.0,0.0,0.0,0.1,0.1,5.0,0.0,0.25,9.4569,EF0_Spherical
30.0,10,10.0,0.0,0.0,0.4,0.4,10.0,30.0,0.25,15.5934,EF0_Spherical
30.0,4,75.0,0.0,0.0,0.1,0.1,100.0,0.0,0.25,41.1096,EF0_Spherical
30.0,12,25.0,0.0,0.0,1.0,1.0,5.0,60.0,0.25,15.2291,EF0_Spherical
90.0,8,40.0,0.0,0.0,0.1,0.1,10.0,0.0,0.4,14.8669,EF0_Spherical
75.0,6,15.0,0.0,0.0,0.1,0.1,5.0,0.0,0.25,9.5173,EF0_Spherical
15.0,4,75.0,0.0,0.0,0.4,0.4,5.0,75.0,0.25,21.5202,EF0_Spherical
60.0,6,15.0,0.0,0.0,0.4,0.4,75.0,5.0,0.25,58.58,EF0_Spherical
60.0,14,10.0,0.0,0.0,0.8,0.8,25.0,30.0,0.25,35.6747,EF0_Spherical
15.0,4,15.0,0.0,0.0,0.4,0.4,100.0,30.0,0.25,68.1179,EF0_Spherical
30.0,8,5.0,0.0,0.0,0.25,0.25,5.0,45.0,0.25,11.6797,EF0_Spherical
75.0,8,90.0,0.0,0.0,0.6,0.6,10.0,0.0,0.25,22.3269,EF0_Spherical
15.0,4,5.0,0.0,0.0,0.4,0.4,10.0,45.0,0.25,13.8876,EF0_Spherical
90.0,6,15.0,0.0,0.0,1.0,1.0,50.0,0.0,0.25,59.134,EF0_Spherical
90.0,8,40.0,0.0,0.0,0.1,0.1,20.0,0.0,0.25,17.6909,EF0_Spherical
45.0,8,10.0,0.0,0.0,0.1,0.1,10.0,5.0,0.25,12.2305,EF0_Spherical
15.0,4,40.0,0.0,0.0,0.1,0.1,50.0,60.0,0.3,37.4893,EF0_Spherical
60.0,12,90.0,0.0,0.0,0.1,0.1,5.0,45.0,0.25,18.6397,EF0_Spherical
30.0,4,50.0,0.0,0.0,0.1,0.1,5.0,60.0,0.25,17.1173,EF0_Spherical
60.0,8,10.0,0.0,0.0,0.1,0.1,50.0,75.0,0.25,134.2621,EF0_Spherical
75.0,8,5.0,0.0,0.0,0.4,0.4,100.0,45.0,0.25,52.9282,EF0_Spherical
75.0,10,15.0,0.0,0.0,1.0,1.0,5.0,60.0,0.25,14.1786,EF0_Spherical
75.0,16,40.0,0.0,0.0,0.4,0.4,10.0,75.0,0.25,38.5233,EF0_Spherical
15.0,14,10.0,0.0,0.0,0.8,0.8,50.0,45.0,0.25,72.3135,EF0_Spherical
90.0,4,15.0,0.0,0.0,0.4,0.4,50.0,0.0,0.25,27.0767,EF0_Spherical
30.0,10,90.0,0.0,0.0,0.6,0.6,100.0,0.0,0.25,130.9234,EF0_Spherical
75.0,6,50.0,0.0,0.0,0.8,0.8,10.0,60.0,0.25,40.6503,EF0_Spherical
15.0,16,5.0,0.0,0.0,0.4,0.4,100.0,75.0,0.25,102.2602,EF0_Spherical
15.0,14,75.0,0.0,0.0,0.6,0.6,50.0,0.0,0.25,62.874,EF0_Spherical
75.0,10,50.0,0.0,0.0,0.6,0.6,100.0,30.0,0.25,109.9473,EF0_Spherical
45.0,14,75.0,0.0,0.0,0.6,0.6,5.0,45.0,0.25,15.6982,EF0_Spherical
15.0,14,5.0,0.0,0.0,0.8,0.8,10.0,5.0,0.25,13.3217,EF0_Spherical
45.0,12,5.0,0.0,0.0,0.1,0.1,75.0,30.0,0.25,16.6979,EF0_Spherical
15.0,14,5.0,0.0,0.0,0.8,0.8,50.0,30.0,0.25,56.1508,EF0_Spherical
30.0,6,50.0,0.0,0.0,0.4,0.4,50.0,45.0,0.25,78.6769,EF0_Spherical
75.0,12,15.0,0.0,0.0,0.6,0.6,5.0,15.0,0.25,10.891,EF0_Spherical
75.0,10,5.0,0.0,0.0,0.25,0.25,10.0,30.0,0.25,11.3912,EF0_Spherical
45.0,4,40.0,0.0,0.0,0.75,0.75,20.0,75.0,0.25,91.7947,EF0_Spherical
45.0,12,10.0,0.0,0.0,1.0,1.0,50.0,0.0,0.25,93.4157,EF0_Spherical
75.0,4,75.0,0.0,0.0,0.1,0.1,100.0,30.0,0.25,39.9591,EF0_Spherical
15.0,10,50.0,0.0,0.0,0.25,0.25,5.0,15.0,0.25,12.1056,EF0_Spherical
45.0,4,15.0,0.0,0.0,0.25,0.25,75.0,30.0,0.25,43.923,EF0_Spherical
60.0,10,50.0,0.0,0.0,0.1,0.1,5.0,5.0,0.25,12.8981,EF0_Spherical
60.0,16,5.0,0.0,0.0,0.4,0.4,100.0,60.0,0.25,61.6021,EF0_Spherical
75.0,12,40.0,0.0,0.0,0.4,0.4,75.0,15.0,0.25,58.7727,EF0_Spherical
90.0,8,40.0,0.0,0.0,0.1,0.1,50.0,45.0,0.25,40.1515,EF0_Spherical
90.0,14,10.0,0.0,0.0,0.4,0.4,50.0,5.0,0.25,26.3947,EF0_Spherical
15.0,4,10.0,0.0,0.0,0.25,0.25,5.0,60.0,0.25,13.1795,EF0_Spherical
75.0,6,75.0,0.0,0.0,0.1,0.1,50.0,5.0,0.25,28.4484,EF0_Spherical
30.0,12,90.0,0.0,0.0,1.0,1.0,75.0,60.0,0.25,211.481,EF0_Spherical
30.0,16,90.0,0.0,0.0,0.6,0.6,25.0,0.0,0.25,50.6567,EF0_Spherical
30.0,4,10.0,0.0,0.0,0.4,0.4,100.0,5.0,0.25,64.0365,EF0_Spherical
45.0,16,15.0,0.0,0.0,0.8,0.8,25.0,15.0,0.25,50.0464,EF0_Spherical
45.0,16,15.0,0.0,0.0,0.6,0.6,100.0,15.0,0.25,117.5661,EF0_Spherical
75.0,8,50.0,0.0,0.0,0.1,0.1,10.0,5.0,0.25,17.2926,EF0_Spherical
60.0,12,40.0,0.0,0.0,0.6,0.6,25.0,30.0,0.25,42.0265,EF0_Spherical
60.0,8,10.0,0.0,0.0,0.1,0.1,75.0,45.0,0.25,24.1718,EF0_Spherical
15.0,16,5.0,0.0,0.0,0.1,0.1,100.0,15.0,0.25,16.4536,EF0_Spherical
75.0,8,10.0,0.0,0.0,0.4,0.4,25.0,30.0,0.25,20.5243,EF0_Spherical
30.0,6,15.0,0.0,0.0,1.0,1.0,10.0,15.0,0.25,25.5674,EF0_Spherical
90.0,14,75.0,0.0,0.0,0.8,0.8,100.0,45.0,0.25,123.2486,EF0_Spherical
90.0,8,40.0,0.0,0.0,0.75,0.75,100.0,0.0,0.3,90.9322,EF0_Spherical
90.0,6,5.0,0.0,0.0,1.0,1.0,5.0,45.0,0.25,11.0967,EF0_Spherical
30.0,12,40.0,0.0,0.0,0.25,0.25,100.0,30.0,0.25,81.9832,EF0_Spherical
15.0,2,40.0,0.0,0.0,1.0,1.0,20.0,15.0,0.2,34.4157,EF0_Spherical
30.0,10,5.0,0.0,0.0,0.8,0.8,75.0,0.0,0.25,80.1787,EF0_Spherical
45.0,10,10.0,0.0,0.0,0.4,0.4,50.0,15.0,0.25,46.1178,EF0_Spherical
45.0,16,15.0,0.0,0.0,0.25,0.25,50.0,0.0,0.25,38.7815,EF0_Spherical
60.0,14,5.0,0.0,0.0,1.0,1.0,75.0,60.0,0.25,101.2281,EF0_Spherical
15.0,10,50.0,0.0,0.0,1.0,1.0,25.0,5.0,0.25,48.686,EF0_Spherical
90.0,4,75.0,0.0,0.0,0.6,0.6,25.0,0.0,0.25,28.9953,EF0_Spherical
30.0,8,15.0,0.0,0.0,1.0,1.0,75.0,45.0,0.25,132.1598,EF0_Spherical
45.0,14,40.0,0.0,0.0,0.1,0.1,10.0,0.0,0.25,19.9859,EF0_Spherical
60.0,10,50.0,0.0,0.0,0.8,0.8,5.0,30.0,0.25,16.3698,EF0_Spherical
90.0,14,50.0,0.0,0.0,0.6,0.6,50.0,60.0,0.25,97.8467,EF0_Spherical
60.0,6,90.0,0.0,0.0,0.1,0.1,100.0,45.0,0.25,59.6434,EF0_Spherical
90.0,4,50.0,0.0,0.0,0.8,0.8,100.0,60.0,0.25,149.0334,EF0_Spherical
90.0,4,10.0,0.0,0.0,0.8,0.8,5.0,60.0,0.25,10.8713,EF0_Spherical
30.0,12,90.0,0.0,0.0,0.25,0.25,10.0,45.0,0.25,30.0827,EF0_Spherical
75.0,4,75.0,0.0,0.0,1.0,1.0,10.0,15.0,0.25,25.4765,EF0_Spherical
90.0,10,15.0,0.0,0.0,0.1,0.1,5.0,5.0,0.25,8.999,EF0_Spherical
75.0,6,90.0,0.0,0.0,0.25,0.25,100.0,45.0,0.25,81.281,EF0_Spherical
45.0,14,5.0,0.0,0.0,0.25,0.25,100.0,0.0,0.25,44.3565,EF0_Spherical
60.0,8,40.0,0.0,0.0,0.1,0.1,10.0,0.0,0.25,18.5321,EF0_Spherical
45.0,16,5.0,0.0,0.0,0.25,0.25,10.0,5.0,0.25,10.3433,EF0_Spherical
75.0,14,40.0,0.0,0.0,0.4,0.4,25.0,45.0,0.25,42.4249,EF0_Spherical
15.0,16,5.0,0.0,0.0,0.25,0.25,5.0,60.0,0.25,11.2944,EF0_Spherical
30.0,16,5.0,0.0,0.0,0.8,0.8,25.0,30.0,0.25,33.2807,EF0_Spherical
90.0,12,90.0,0.0,0.0,1.0,1.0,25.0,45.0,0.25,59.2341,EF0_Spherical
30.0,6,5.0,0.0,0.0,1.0,1.0,100.0,75.0,0.25,189.8544,EF0_Spherical
45.0,16,90.0,0.0,0.0,0.25,0.25,75.0,15.0,0.25,92.5216,EF0_Spherical
60.0,10,5.0,0.0,0.0,0.8,0.8,50.0,30.0,0.25,57.4388,EF0_Spherical
75.0,8,90.0,0.0,0.0,0.1,0.1,25.0,0.0,0.25,27.7831,EF0_Spherical
45.0,12,10.0,0.0,0.0,0.5,0.5,100.0,15.0,0.25,92.4956,EF0_Spherical
75.0,12,10.0,0.0,0.0,0.4,0.4,100.0,60.0,0.25,71.8249,EF0_Spherical
15.0,16,15.0,0.0,0.0,0.6,0.6,75.0,15.0,0.25,70.3441,EF0_Spherical
90.0,4,5.0,0.0,0.0,1.0,1.0,100.0,75.0,0.25,172.0864,EF0_Spherical
75.0,16,90.0,0.0,0.0,0.6,0.6,5.0,45.0,0.25,19.4507,EF0_Spherical
45.0,14,10.0,0.0,0.0,0.6,0.6,50.0,15.0,0.25,60.0249,EF0_Spherical
60.0,8,40.0,0.0,0.0,0.25,0.25,25.0,5.0,0.25,27.8366,EF0_Spherical
30.0,8,75.0,0.0,0.0,0.6,0.6,10.0,30.0,0.25,34.5541,EF0_Spherical
60.0,6,90.0,0.0,0.0,0.25,0.25,5.0,45.0,0.25,18.4884,EF0_Spherical
75.0,6,5.0,0.0,0.0,0.1,0.1,50.0,15.0,0.25,11.3603,EF0_Spherical
15.0,12,5.0,0.0,0.0,1.0,1.0,25.0,60.0,0.25,47.8136,EF0_Spherical
45.0,14,10.0,0.0,0.0,0.25,0.25,50.0,30.0,0.25,29.0411,EF0_Spherical
60.0,10,90.0,0.0,0.0,0.25,0.25,100.0,30.0,0.25,74.6323,EF0_Spherical
75.0,6,50.0,0.0,0.0,0.8,0.8,5.0,45.0,0.25,18.5751,EF0_Spherical
30.0,14,50.0,0.0,0.0,1.0,1.0,50.0,60.0,0.25,141.5952,EF0_Spherical
60.0,6,15.0,0.0,0.0,0.8,0.8,50.0,45.0,0.25,66.3252,EF0_Spherical
30.0,8,10.0,0.0,0.0,0.25,0.25,50.0,45.0,0.25,31.1709,EF0_Spherical
60.0,16,5.0,0.0,0.0,0.25,0.25,25.0,15.0,0.25,13.8101,EF0_Spherical
90.0,4,10.0,0.0,0.0,0.25,0.25,10.0,15.0,0.25,11.1063,EF0_Spherical
30.0,12,50.0,0.0,0.0,0.1,0.1,50.0,5.0,0.25,29.9453,EF0_Spherical
30.0,14,15.0,0.0,0.0,1.0,1.0,50.0,60.0,0.25,114.3442,EF0_Spherical
45.0,16,10.0,0.0,0.0,0.4,0.4,50.0,0.0,0.25,47.184,EF0_Spherical
45.0,6,40.0,0.0,0.0,0.1,0.1,50.0,5.0,0.25,32.7579,EF0_Spherical
60.0,4,5.0,0.0,0.0,0.4,0.4,50.0,60.0,0.25,39.1423,EF0_Spherical
15.0,4,75.0,0.0,0.0,0.8,0.8,50.0,30.0,0.25,98.2902,EF0_Spherical
60.0,12,50.0,0.0,0.0,0.25,0.25,25.0,0.0,0.25,30.2589,EF0_Spherical
30.0,12,40.0,0.0,0.0,1.0,1.0,75.0,30.0,0.25,139.6412,EF0_Spherical
60.0,12,40.0,0.0,0.0,0.8,0.8,75.0,0.0,0.25,108.2871,EF0_Spherical
45.0,10,40.0,0.0,0.0,0.6,0.6,100.0,60.0,0.25,134.7129,EF0_Spherical
45.0,8,50.0,0.0,0.0,0.4,0.4,100.0,5.0,0.25,111.3777,EF0_Spherical
90.0,16,75.0,0.0,0.0,0.4,0.4,5.0,60.0,0.25,11.489,EF0_Spherical
90.0,8,75.0,0.0,0.0,0.8,0.8,10.0,5.0,0.25,19.2086,EF0_Spherical
75.0,8,90.0,0.0,0.0,0.25,0.25,50.0,45.0,0.25,64.7067,EF0_Spherical
30.0,6,90.0,0.0,0.0,0.4,0.4,10.0,75.0,0.25,44.7076,EF0_Spherical
60.0,10,90.0,0.0,0.0,0.1,0.1,5.0,0.0,0.25,13.6407,EF0_Spherical
45.0,4,40.0,0.0,0.0,0.1,0.1,100.0,0.0,0.3,49.6985,EF0_Spherical
45.0,6,50.0,0.0,0.0,0.8,0.8,5.0,75.0,0.25,24.5681,EF0_Spherical
90.0,4,90.0,0.0,0.0,0.4,0.4,50.0,75.0,0.25,96.573,EF0_Spherical
45.0,8,40.0,0.0,0.0,1.0,1.0,50.0,75.0,0.4,206.0859,EF0_Spherical
75.0,8,75.0,0.0,0.0,0.25,0.25,50.0,60.0,0.25,106.7363,EF0_Spherical
60.0,8,25.0,0.0,0.0,1.0,1.0,5.0,30.0,0.25,15.6407,EF0_Spherical
45.0,14,50.0,0.0,0.0,0.4,0.4,100.0,30.0,0.25,104.6065,EF0_Spherical
45.0,12,90.0,0.0,0.0,0.8,0.8,75.0,75.0,0.25,302.1589,EF0_Spherical
60.0,8,5.0,0.0,0.0,1.0,1.0,10.0,30.0,0.25,17.546,EF0_Spherical
90.0,12,40.0,0.0,0.0,0.8,0.8,75.0,75.0,0.25,144.4465,EF0_Spherical
30.0,14,50.0,0.0,0.0,0.1,0.1,10.0,15.0,0.25,20.4039,EF0_Spherical
15.0,14,50.0,0.0,0.0,0.8,0.8,25.0,75.0,0.25,96.6843,EF0_Spherical
45.0,8,40.0,0.0,0.0,1.0,1.0,10.0,0.0,0.4,34.4145,EF0_Spherical
45.0,6,90.0,0.0,0.0,0.6,0.6,75.0,75.0,0.25,276.8526,EF0_Spherical
15.0,6,5.0,0.0,0.0,1.0,1.0,50.0,5.0,0.25,61.4312,EF0_Spherical
30.0,6,40.0,0.0,0.0,0.25,0.25,50.0,30.0,0.25,54.0425,EF0_Spherical
30.0,16,90.0,0.0,0.0,0.8,0.8,5.0,60.0,0.25,18.0659,EF0_Spherical
45.0,8,40.0,0.0,0.0,0.75,0.75,50.0,15.0,0.4,94.8641,EF0_Spherical
75.0,6,40.0,0.0,0.0,0.25,0.25,100.0,0.0,0.25,49.4981,EF0_Spherical
15.0,12,15.0,0.0,0.0,0.6,0.6,75.0,45.0,0.25,85.999,EF0_Spherical
75.0,6,5.0,0.0,0.0,0.1,0.1,10.0,45.0,0.25,15.5565,EF0_Spherical
60.0,6,50.0,0.0,0.0,0.1,0.1,5.0,0.0,0.25,12.7745,EF0_Spherical
75.0,12,90.0,0.0,0.0,0.6,0.6,25.0,60.0,0.25,96.6638,EF0_Spherical
30.0,16,5.0,0.0,0.0,0.8,0.8,100.0,45.0,0.25,116.6251,EF0_Spherical
15.0,8,10.0,0.0,0.0,0.25,0.25,25.0,45.0,0.25,19.7855,EF0_Spherical
60.0,16,75.0,0.0,0.0,1.0,1.0,25.0,30.0,0.25,65.0666,EF0_Spherical
60.0,14,40.0,0.0,0.0,0.4,0.4,10.0,0.0,0.25,20.9145,EF0_Spherical
45.0,14,10.0,0.0,0.0,0.6,0.6,100.0,75.0,0.25,151.161,EF0_Spherical
90.0,4,5.0,0.0,0.0,0.8,0.8,10.0,0.0,0.25,12.2562,EF0_Spherical
90.0,12,15.0,0.0,0.0,1.0,1.0,100.0,30.0,0.25,119.2344,EF0_Spherical
30.0,14,5.0,0.0,0.0,0.4,0.4,100.0,15.0,0.25,58.5133,EF0_Spherical
90.0,2,40.0,0.0,0.0,0.75,0.75,10.0,15.0,0.2,18.0786,EF0_Spherical
60.0,4,10.0,0.0,0.0,1.0,1.0,5.0,45.0,0.25,13.3565,EF0_Spherical
15.0,14,5.0,0.0,0.0,0.1,0.1,10.0,5.0,0.25,8.6216,EF0_Spherical
75.0,10,90.0,0.0,0.0,1.0,1.0,75.0,60.0,0.25,200.5608,EF0_Spherical
45.0,4,15.0,0.0,0.0,0.6,0.6,5.0,5.0,0.25,13.11,EF0_Spherical
60.0,4,40.0,0.0,0.0,0.6,0.6,5.0,75.0,0.25,25.8768,EF0_Spherical
45.0,16,5.0,0.0,0.0,0.8,0.8,75.0,5.0,0.25,94.09,EF0_Spherical
45.0,14,5.0,0.0,0.0,0.4,0.4,25.0,75.0,0.25,60.0336,EF0_Spherical
90.0,8,90.0,0.0,0.0,0.8,0.8,100.0,75.0,0.25,193.0925,EF0_Spherical
90.0,10,15.0,0.0,0.0,0.8,0.8,75.0,5.0,0.25,72.0032,EF0_Spherical
45.0,14,15.0,0.0,0.0,1.0,1.0,25.0,45.0,0.25,49.5874,EF0_Spherical
60.0,16,15.0,0.0,0.0,0.25,0.25,75.0,45.0,0.25,40.8889,EF0_Spherical
45.0,4,10.0,0.0,0.0,0.6,0.6,10.0,60.0,0.25,25.3272,EF0_Spherical
15.0,6,50.0,0.0,0.0,0.8,0.8,50.0,30.0,0.25,92.2345,EF0_Spherical
60.0,12,5.0,0.0,0.0,0.6,0.6,5.0,5.0,0.25,9.1844,EF0_Spherical
30.0,16,15.0,0.0,0.0,0.8,0.8,100.0,15.0,0.25,121.5112,EF0_Spherical
60.0,10,10.0,0.0,0.0,0.4,0.4,10.0,60.0,0.25,27.0704,EF0_Spherical
60.0,16,90.0,0.0,0.0,1.0,1.0,10.0,0.0,0.25,29.819,EF0_Spherical
45.0,10,15.0,0.0,0.0,0.8,0.8,25.0,45.0,0.25,42.4661,EF0_Spherical
90.0,4,5.0,0.0,0.0,0.1,0.1,75.0,5.0,0.25,12.4709,EF0_Spherical
90.0,6,5.0,0.0,0.0,0.25,0.25,50.0,45.0,0.25,23.2835,EF0_Spherical
90.0,8,15.0,0.0,0.0,0.4,0.4,100.0,60.0,0.25,77.457,EF0_Spherical
60.0,16,10.0,0.0,0.0,0.8,0.8,5.0,75.0,0.25,14.9909,EF0_Spherical
15.0,6,90.0,0.0,0.0,0.1,0.1,100.0,5.0,0.25,35.8112,EF0_Spherical
45.0,10,10.0,0.0,0.0,0.8,0.8,100.0,0.0,0.25,139.3334,EF0_Spherical
30.0,16,40.0,0.0,0.0,0.1,0.1,100.0,75.0,0.25,136.154,EF0_Spherical
30.0,16,10.0,0.0,0.0,0.8,0.8,100.0,5.0,0.25,114.0021,EF0_Spherical
45.0,8,15.0,0.0,0.0,0.8,0.8,100.0,0.0,0.25,149.5158,EF0_Spherical
90.0,14,75.0,0.0,0.0,0.1,0.1,25.0,15.0,0.25,25.2708,EF0_Spherical
90.0,4,5.0,0.0,0.0,0.6,0.6,5.0,5.0,0.25,8.0487,EF0_Spherical
45.0,12,75.0,0.0,0.0,0.5,0.5,5.0,15.0,0.25,17.802,EF0_Spherical
75.0,8,5.0,0.0,0.0,0.4,0.4,50.0,75.0,0.25,104.0927,EF0_Spherical
60.0,10,40.0,0.0,0.0,0.8,0.8,25.0,45.0,0.25,52.2768,EF0_Spherical
15.0,4,5.0,0.0,0.0,0.1,0.1,25.0,0.0,0.25,9.3042,EF0_Spherical
45.0,6,90.0,0.0,0.0,0.8,0.8,25.0,60.0,0.25,81.1583,EF0_Spherical
15.0,10,50.0,0.0,0.0,0.25,0.25,75.0,75.0,0.25,134.2087,EF0_Spherical
15.0,10,50.0,0.0,0.0,0.4,0.4,100.0,60.0,0.25,144.5576,EF0_Spherical
15.0,12,90.0,0.0,0.0,0.4,0.4,75.0,45.0,0.25,121.6274,EF0_Spherical
75.0,8,15.0,0.0,0.0,0.1,0.1,50.0,15.0,0.25,16.0485,EF0_Spherical
60.0,12,15.0,0.0,0.0,0.25,0.25,25.0,30.0,0.25,21.1574,EF0_Spherical
15.0,12,75.0,0.0,0.0,0.25,0.25,75.0,15.0,0.25,50.3128,EF0_Spherical
60.0,8,50.0,0.0,0.0,0.4,0.4,10.0,30.0,0.25,23.7805,EF0_Spherical
30.0,16,40.0,0.0,0.0,0.25,0.25,50.0,60.0,0.25,60.7217,EF0_Spherical
75.0,12,5.0,0.0,0.0,0.1,0.1,5.0,60.0,0.25,11.0333,EF0_Spherical
30.0,16,50.0,0.0,0.0,0.6,0.6,100.0,60.0,0.25,177.3409,EF0_Spherical
30.0,8,5.0,0.0,0.0,0.25,0.25,75.0,30.0,0.25,32.0511,EF0_Spherical
15.0,14,75.0,0.0,0.0,0.6,0.6,5.0,45.0,0.25,19.1897,EF0_Spherical
30.0,10,15.0,0.0,0.0,0.4,0.4,50.0,30.0,0.25,51.5219,EF0_Spherical
30.0,8,90.0,0.0,0.0,1.0,1.0,25.0,45.0,0.25,86.6177,EF0_Spherical
15.0,8,75.0,0.0,0.0,1.0,1.0,75.0,5.0,0.25,130.4557,EF0_Spherical
15.0,16,5.0,0.0,0.0,0.6,0.6,5.0,60.0,0.25,11.2915,EF0_Spherical
75.0,6,90.0,0.0,0.0,0.8,0.8,10.0,0.0,0.25,23.7761,EF0_Spherical
90.0,12,50.0,0.0,0.0,0.8,0.8,10.0,60.0,0.25,22.8297,EF0_Spherical
60.0,4,90.0,0.0,0.0,0.8,0.8,25.0,5.0,0.25,58.6917,EF0_Spherical
75.0,16,10.0,0.0,0.0,0.8,0.8,100.0,75.0,0.25,196.1491,EF0_Spherical
30.0,6,50.0,0.0,0.0,0.25,0.25,75.0,45.0,0.25,76.0604,EF0_Spherical
60.0,10,10.0,0.0,0.0,0.1,0.1,10.0,75.0,0.25,30.0998,EF0_Spherical
75.0,8,10.0,0.0,0.0,0.1,0.1,5.0,15.0,0.25,9.1892,EF0_Spherical
90.0,14,5.0,0.0,0.0,0.6,0.6,10.0,30.0,0.25,13.0805,EF0_Spherical
75.0,10,50.0,0.0,0.0,0.1,0.1,10.0,75.0,0.25,42.0605,EF0_Spherical
45.0,8,75.0,0.0,0.0,1.0,1.0,10.0,5.0,0.25,36.9141,EF0_Spherical
75.0,12,90.0,0.0,0.0,0.1,0.1,100.0,30.0,0.25,45.7341,EF0_Spherical
45.0,14,40.0,0.0,0.0,0.4,0.4,75.0,75.0,0.25,204.2648,EF0_Spherical
45.0,16,75.0,0.0,0.0,1.0,1.0,10.0,60.0,0.25,35.5265,EF0_Spherical
30.0,12,40.0,0.0,0.0,0.8,0.8,10.0,5.0,0.25,25.9087,EF0_Spherical
90.0,6,15.0,0.0,0.0,1.0,1.0,10.0,5.0,0.25,15.811,EF0_Spherical
75.0,8,5.0,0.0,0.0,1.0,1.0,100.0,5.0,0.25,113.8612,EF0_Spherical
90.0,8,5.0,0.0,0.0,0.8,0.8,75.0,0.0,0.25,68.4158,EF0_Spherical
60.0,16,15.0,0.0,0.0,0.6,0.6,75.0,30.0,0.25,78.4748,EF0_Spherical
15.0,10,50.0,0.0,0.0,0.4,0.4,25.0,60.0,0.25,57.5692,EF0_Spherical
15.0,4,90.0,0.0,0.0,0.6,0.6,10.0,45.0,0.25,33.079,EF0_Spherical
60.0,6,5.0,0.0,0.0,1.0,1.0,5.0,0.0,0.25,10.7228,EF0_Spherical
90.0,10,90.0,0.0,0.0,0.6,0.6,50.0,45.0,0.25,70.8296,EF0_Spherical
60.0,6,10.0,0.0,0.0,0.4,0.4,5.0,60.0,0.25,13.4581,EF0_Spherical
90.0,8,40.0,0.0,0.0,0.25,0.25,100.0,30.0,0.25,43.05,EF0_Spherical
45.0,4,40.0,0.0,0.0,1.0,1.0,5.0,75.0,0.25,22.9404,EF0_Spherical
75.0,12,40.0,0.0,0.0,1.0,1.0,100.0,30.0,0.25,150.343,EF0_Spherical
15.0,4,5.0,0.0,0.0,0.1,0.1,10.0,5.0,0.25,8.4581,EF0_Spherical
45.0,14,40.0,0.0,0.0,0.1,0.1,5.0,30.0,0.25,14.291,EF0_Spherical
45.0,14,90.0,0.0,0.0,1.0,1.0,10.0,30.0,0.25,36.6523,EF0_Spherical
60.0,4,40.0,0.0,0.0,0.4,0.4,75.0,5.0,0.25,75.2858,EF0_Spherical
75.0,10,5.0,0.0,0.0,0.25,0.25,25.0,45.0,0.25,18.6859,EF0_Spherical
90.0,14,15.0,0.0,0.0,0.1,0.1,5.0,15.0,0.25,9.558,EF0_Spherical
45.0,14,50.0,0.0,0.0,0.6,0.6,75.0,30.0,0.25,110.2205,EF0_Spherical
60.0,4,50.0,0.0,0.0,0.8,0.8,100.0,30.0,0.25,136.0486,EF0_Spherical
15.0,8,90.0,0.0,0.0,0.6,0.6,100.0,45.0,0.25,157.9556,EF0_Spherical
90.0,14,5.0,0.0,0.0,0.6,0.6,5.0,15.0,0.25,8.4696,EF0_Spherical
30.0,4,75.0,0.0,0.0,0.6,0.6,100.0,60.0,0.25,190.1179,EF0_Spherical
15.0,4,40.0,0.0,0.0,0.6,0.6,25.0,75.0,0.25,91.5098,EF0_Spherical
75.0,4,15.0,0.0,0.0,0.6,0.6,10.0,15.0,0.25,14.9682,EF0_Spherical
90.0,4,5.0,0.0,0.0,1.0,1.0,5.0,60.0,0.25,10.3753,EF0_Spherical
90.0,12,5.0,0.0,0.0,0.1,0.1,25.0,15.0,0.25,9.6612,EF0_Spherical
75.0,12,90.0,0.0,0.0,0.4,0.4,50.0,5.0,0.25,49.2545,EF0_Spherical
